sex,age,fare,cabin,embarked,title,survived
male,28.0,10.5,,S,Mr,0
male,,14.4542,,C,Mr,0
female,33.0,86.5,B77,S,Other,1
male,21.0,16.1,,S,Mr,0
male,19.0,36.75,,S,Mr,0
male,21.0,7.775,,S,Mr,1
female,23.0,7.925,,S,Miss,0
male,18.0,73.5,,S,Mr,0
male,9.0,31.3875,,S,Master,0
female,54.0,78.2667,D20,C,Miss,1
male,44.0,7.925,,S,Mr,1
male,34.0,8.05,,S,Mr,0
male,51.0,7.0542,,S,Mr,0
male,33.0,5.0,B51,S,Mr,0
male,16.0,20.25,,S,Mr,0
male,25.0,26.0,,S,Mr,0
male,19.0,7.8958,,S,Mr,0
female,24.0,27.0,,S,Mrs,1
male,26.0,30.0,C148,C,Mr,1
male,29.0,10.5,,S,Mr,0
male,30.0,12.7375,,C,Mr,1
female,39.0,108.9,C105,C,Other,1
male,27.0,26.0,,S,Mr,0
male,,7.8958,,S,Mr,0
female,17.0,7.7333,,Q,Miss,0
male,,7.8958,,S,Mr,0
male,34.0,21.0,,S,Mr,0
male,65.0,26.55,E38,S,Mr,0
female,26.0,7.8542,,S,Miss,1
male,40.0,16.0,,S,Mr,0
male,36.5,26.0,F2,S,Mr,0
female,21.0,7.75,,Q,Miss,0
male,18.0,7.75,,S,Mr,0
male,28.0,13.0,,S,Mr,0
male,42.0,26.55,,S,Mr,0
male,21.0,13.0,,S,Mr,0
female,,14.4583,,C,Mrs,0
male,22.0,7.225,,C,Mr,1
female,27.0,13.8583,,C,Miss,1
female,,7.75,,Q,Miss,1
male,41.0,7.125,,S,Mr,0
female,55.0,16.0,,S,Mrs,1
male,24.0,79.2,B86,C,Mr,0
female,30.0,6.95,,Q,Miss,1
male,32.5,211.5,C132,C,Mr,0
male,22.0,7.7958,,S,Mr,0
male,9.0,46.9,,S,Master,0
male,11.0,46.9,,S,Master,0
female,24.0,14.5,,S,Mrs,1
male,22.0,7.5208,,S,Mr,0
male,18.0,6.4958,,S,Mr,0
female,28.0,7.8958,,S,Miss,0
male,20.0,7.05,,S,Mr,0
female,52.0,78.2667,D20,C,Mrs,1
male,50.0,106.425,C86,C,Mr,0
female,,25.4667,,S,Miss,0
male,25.0,17.8,,S,Mr,0
female,17.0,16.1,,S,Miss,1
male,30.0,13.0,,S,Mr,0
male,,52.0,A14,S,Mr,0
male,31.0,52.0,B71,S,Mr,0
female,,7.75,,Q,Miss,1
male,35.0,8.05,,S,Mr,0
female,26.0,13.775,,S,Mrs,0
female,29.0,211.3375,B5,S,Miss,1
female,18.0,13.0,,S,Miss,1
male,40.0,15.5,,Q,Mr,0
female,24.0,27.7208,,C,Mrs,1
male,30.0,26.0,,S,Other,0
female,,8.05,,S,Miss,1
male,28.0,13.5,,S,Mr,0
female,,31.6833,,S,Mrs,1
male,42.0,13.0,,S,Mr,0
male,1.0,39.6875,,S,Master,0
male,,24.15,,Q,Mr,0
male,,0.0,,S,Mr,0
male,,14.4583,,C,Mr,0
male,25.0,10.5,,S,Mr,0
female,27.0,7.925,,S,Miss,1
female,23.0,83.1583,C54,C,Mrs,1
female,31.0,7.8542,,S,Miss,0
male,32.0,22.525,,S,Mr,0
female,26.0,26.0,,S,Mrs,0
female,31.0,113.275,D36,C,Miss,1
male,28.0,7.7958,,S,Mr,0
male,71.0,34.6542,A5,C,Mr,0
female,,7.55,,S,Miss,0
male,55.0,59.4,,C,Mr,0
female,47.0,7.0,,S,Mrs,1
male,28.0,22.525,,S,Mr,0
male,,69.55,,S,Mr,0
male,,7.75,,Q,Mr,0
male,2.0,21.075,,S,Master,0
female,19.0,16.1,,S,Mrs,0
male,,8.05,,S,Mr,0
female,44.0,26.0,,S,Mrs,0
male,33.0,26.55,,S,Mr,0
male,59.0,7.25,,S,Mr,0
male,25.0,91.0792,B49,C,Mr,1
male,20.0,9.8458,,S,Mr,0
female,62.0,80.0,B28,,Mrs,1
male,26.0,10.5,,S,Mr,0
male,21.0,7.7958,,S,Mr,1
male,,7.225,,C,Mr,0
male,23.0,7.8958,,S,Mr,0
male,30.0,151.55,C22,S,Mr,0
female,,89.1042,C92,C,Mrs,1
male,37.0,7.925,,S,Mr,0
female,36.0,13.0,,S,Miss,1
male,48.0,52.0,C126,S,Mr,1
male,18.0,8.6625,,S,Mr,0
female,,8.1125,,S,Mrs,0
male,,8.05,,S,Mr,0
female,63.0,9.5875,,S,Mrs,1
male,27.0,7.8542,,S,Mr,0
male,33.0,7.775,,S,Mr,0
male,24.0,16.1,,S,Mr,0
male,18.0,108.9,C65,C,Mr,0
female,5.0,31.3875,,S,Miss,1
male,23.0,93.5,B24,S,Mr,0
male,29.0,66.6,C2,S,Mr,0
male,,19.9667,,S,Mr,0
female,29.0,26.0,,S,Mrs,0
male,,21.6792,,C,Mr,0
male,28.0,15.85,,S,Mr,0
male,1.0,39.0,F4,S,Master,1
male,21.0,11.5,,S,Mr,0
female,,22.3583,,C,Mrs,1
female,35.0,20.25,,S,Mrs,1
female,,69.55,,S,Mrs,0
male,28.0,35.5,A6,S,Mr,1
male,42.0,13.0,,S,Mr,1
female,47.0,61.175,E31,S,Mrs,1
male,19.0,7.8958,,S,Mr,0
male,20.0,15.7417,,C,Mr,1
male,26.0,29.0,,S,Mr,1
male,,227.525,,C,Mr,0
female,17.0,14.4583,,C,Miss,0
female,28.0,263.0,C23,S,Miss,1
male,25.0,7.7958,,S,Mr,1
male,32.0,7.775,,S,Mr,1
male,41.0,13.0,,S,Other,0
female,31.0,21.0,,S,Miss,1
male,16.0,34.375,,S,Mr,0
male,37.0,53.1,C123,S,Mr,0
male,34.0,26.55,,S,Mr,1
male,,7.75,,Q,Mr,0
male,45.0,83.475,C83,S,Mr,0
male,36.0,7.4958,,S,Mr,0
male,,8.05,,S,Mr,0
male,24.0,10.5,,S,Mr,1
female,45.0,14.1083,,S,Mrs,1
male,49.0,0.0,,S,Mr,0
male,19.0,6.75,,Q,Mr,0
female,19.0,30.0,B42,S,Miss,1
female,14.0,11.2417,,C,Miss,1
male,39.0,0.0,A36,S,Mr,0
female,41.0,19.5,,S,Mrs,1
male,,6.8583,,Q,Mr,0
male,26.0,7.775,,S,Mr,0
male,25.0,7.775,,S,Mr,1
female,45.0,30.0,,S,Mrs,1
male,,7.75,,Q,Mr,0
male,28.0,26.55,C52,S,Mr,1
female,38.0,13.0,,S,Miss,0
female,29.0,26.0,,S,Mrs,1
male,16.0,18.0,,S,Mr,0
male,42.0,13.0,,S,Other,0
female,20.0,26.0,,S,Miss,1
male,45.0,6.975,,S,Mr,0
female,24.0,83.1583,C54,C,Miss,1
male,41.0,15.0458,,C,Mr,0
female,33.0,26.0,,S,Mrs,1
male,34.0,13.0,D56,S,Mr,1
male,60.0,26.55,,S,Other,0
female,18.0,9.35,,S,Mrs,1
female,25.0,151.55,C22,S,Mrs,0
male,54.0,55.4417,C116,C,Mr,1
male,,22.3583,,C,Master,1
male,27.0,8.6625,,S,Mr,0
male,36.0,24.15,,S,Mr,0
male,36.0,120.0,B96,S,Mr,1
female,34.0,32.5,,S,Mrs,1
female,28.0,12.65,,S,Mrs,1
male,,15.5,,Q,Mr,0
male,,0.0,,S,Mr,0
female,22.0,21.0,,S,Mrs,0
female,,15.5,,Q,Miss,1
female,29.0,7.925,,S,Miss,0
male,24.0,7.7958,,S,Mr,0
male,,8.05,,S,Mr,0
male,32.0,7.75,,Q,Mr,0
male,23.5,7.2292,,C,Mr,0
male,39.0,13.0,,S,Mr,0
female,19.0,26.0,,S,Mrs,1
male,24.0,7.25,,Q,Mr,0
female,,23.45,,S,Mrs,0
female,26.0,78.85,,S,Miss,1
male,21.0,7.225,,C,Mr,0
female,9.0,15.2458,,C,Miss,0
female,24.0,18.75,,S,Mrs,1
male,28.0,7.925,,S,Mr,0
male,,24.15,,Q,Mr,0
male,33.0,7.8958,,C,Mr,0
male,61.0,33.5,B19,S,Mr,0
male,21.0,7.8542,,S,Mr,0
male,,7.8958,,S,Mr,0
male,,56.4958,,S,Mr,1
female,50.0,10.5,,S,Miss,1
female,35.0,52.0,,S,Mrs,1
female,18.0,17.8,,S,Mrs,0
female,45.0,14.4542,,C,Mrs,0
male,32.0,26.0,,S,Mr,1
female,,27.7208,,C,Mrs,1
female,,69.55,,S,Miss,0
male,,8.05,,S,Mr,0
male,17.0,47.1,,S,Mr,0
female,57.0,10.5,E77,S,Mrs,0
male,18.0,11.5,,S,Mr,0
female,54.0,23.0,,S,Mrs,1
male,11.0,18.7875,,C,Mr,0
male,6.0,12.475,E121,S,Master,1
male,,7.75,,Q,Mr,0
male,21.0,8.6625,,S,Mr,0
female,31.0,20.525,,S,Mrs,1
female,36.0,12.1833,,S,Mrs,0
male,1.0,46.9,,S,Master,0
female,24.0,65.0,,S,Miss,1
male,26.0,7.775,,S,Mr,0
male,35.0,10.5,,S,Mr,0
male,6.0,21.075,,S,Master,0
male,21.0,8.05,,S,Mr,0
male,18.0,7.775,,S,Mr,0
male,42.0,7.65,F,S,Mr,0
male,,8.05,,S,Mr,0
female,,7.75,,Q,Miss,1
male,,25.7417,,C,Mr,1
male,29.0,9.5,,S,Mr,1
female,,7.8792,,Q,Miss,1
male,9.0,20.525,,S,Master,1
female,29.0,26.0,,S,Mrs,1
male,25.0,7.2292,F,C,Mr,1
male,27.0,13.0,,S,Mr,0
male,74.0,7.775,,S,Mr,0
male,22.0,31.5,,S,Mr,0
male,32.0,8.05,,S,Mr,0
female,13.0,7.2292,,C,Miss,1
female,27.0,10.5,E101,S,Miss,1
female,45.0,7.225,,C,Mrs,1
male,,12.875,,S,Mr,0
male,22.0,7.7958,,S,Mr,0
male,35.0,12.35,,Q,Mr,0
female,,7.75,,Q,Miss,0
female,43.0,55.4417,C116,C,Mrs,1
female,22.0,8.6625,,S,Miss,0
male,30.0,8.05,,S,Mr,0
male,29.0,8.05,,S,Mr,0
female,43.0,46.9,,S,Mrs,0
male,29.0,7.775,,S,Mr,0
female,,7.2292,,C,Mrs,1
male,63.0,26.0,,S,Mr,0
female,32.5,13.0,E101,S,Miss,1
male,,42.4,,S,Mr,0
female,44.0,57.9792,B18,C,Mrs,1
male,27.0,7.8958,,S,Mr,0
female,18.0,6.75,,Q,Miss,0
male,22.0,7.775,,S,Mr,0
female,15.0,14.4542,,C,Mrs,1
female,11.0,31.275,,S,Miss,0
male,20.0,7.925,,S,Mr,1
male,35.0,26.55,,C,Mr,1
male,,221.7792,C95,S,Mr,0
female,24.0,7.75,,Q,Miss,1
male,25.0,7.05,,S,Mr,0
female,20.0,8.6625,,S,Miss,0
female,36.0,26.0,,S,Mrs,1
male,25.0,41.5792,,C,Mr,0
male,32.0,13.5,,S,Mr,0
male,,8.6625,,S,Mr,0
male,53.0,81.8583,A34,S,Other,1
male,18.0,34.375,,S,Mr,0
male,30.0,10.5,,S,Mr,0
female,60.0,76.2917,D15,C,Mrs,1
female,26.0,7.925,,S,Miss,1
male,2.0,29.125,,Q,Master,0
female,45.0,7.75,,S,Miss,0
female,37.0,7.75,,Q,Miss,0
female,31.0,18.0,,S,Mrs,0
male,,8.05,,S,Mr,0
female,33.0,20.575,,S,Mrs,1
male,17.0,7.0542,,S,Mr,0
male,27.0,26.0,,S,Mr,0
male,,6.4375,,C,Mr,0
female,,55.0,E33,S,Mrs,1
male,2.0,26.0,F2,S,Master,1
male,39.0,26.0,,S,Mr,0
female,4.0,39.0,F4,S,Miss,1
male,65.0,61.9792,B30,C,Mr,0
female,49.0,76.7292,D33,C,Mrs,1
male,,7.2292,,C,Mr,0
male,26.0,7.8792,,Q,Mr,0
male,54.0,14.0,,S,Other,0
male,38.5,7.25,,S,Mr,0
female,,51.8625,D21,S,Mrs,1
male,,7.75,,Q,Mr,0
female,38.0,80.0,B28,,Miss,1
male,32.0,8.05,E10,S,Mr,1
male,,8.05,,S,Mr,0
female,35.0,211.5,C130,C,Miss,1
male,29.0,30.0,D6,S,Mr,0
male,53.0,28.5,C51,C,Other,1
male,4.0,11.1333,,S,Master,1
male,19.0,53.1,D30,S,Mr,0
male,52.0,79.65,E67,S,Mr,0
female,22.0,55.0,E33,S,Miss,1
male,,7.8958,,S,Mr,0
male,47.0,52.0,C110,S,Mr,0
male,23.0,7.7958,,S,Mr,1
female,58.0,26.55,C103,S,Miss,1
male,11.5,14.5,,S,Master,0
male,61.0,6.2375,,S,Mr,0
female,,7.75,,Q,Miss,0
female,12.0,39.0,F4,S,Miss,1
male,,7.3125,,S,Mr,0
female,24.0,49.5042,C90,C,Mrs,1
male,44.0,13.0,,S,Mr,0
male,21.0,6.4958,,S,Mr,0
male,,7.8958,,S,Mr,0
male,27.0,7.8958,,S,Mr,0
male,18.5,7.2292,,C,Mr,0
female,,79.2,,C,Mrs,1
female,22.0,151.55,,S,Miss,1
female,9.0,34.375,,S,Miss,0
male,23.0,15.0458,,C,Mr,0
male,26.0,56.4958,,S,Mr,1
male,,21.6792,,C,Mr,0
male,33.0,20.525,,S,Mr,0
male,26.0,7.8958,,S,Mr,0
male,,69.55,,S,Mr,0
female,6.0,31.275,,S,Miss,0
male,37.0,29.7,C118,C,Mr,0
male,,15.2458,,C,Master,1
male,,21.6792,,C,Mr,0
female,45.0,27.9,,S,Mrs,0
male,70.5,7.75,,Q,Mr,0
male,17.0,8.6625,,S,Mr,0
male,,7.8958,,S,Mr,0
male,,7.8958,,S,Mr,0
male,38.0,0.0,,S,Other,0
female,15.0,8.0292,,Q,Miss,1
male,27.0,8.6625,,S,Mr,1
female,30.0,86.5,B77,S,Miss,1
female,29.0,221.7792,C97,S,Miss,1
female,19.0,26.2833,D47,S,Miss,1
male,,7.75,,Q,Mr,0
female,36.0,15.9,,S,Mrs,1
female,24.0,263.0,C23,S,Miss,1
male,,30.6958,,C,Mr,0
male,32.0,7.925,,S,Mr,0
female,33.0,90.0,C78,Q,Miss,1
male,45.0,134.5,E34,C,Mr,1
female,44.0,27.7208,B4,C,Mrs,1
female,5.0,27.75,,S,Miss,1
male,23.0,10.5,,S,Other,0
male,61.0,32.3208,D50,S,Mr,0
female,,12.35,E101,Q,Miss,1
female,,133.65,,S,Mrs,1
female,14.5,14.4542,,C,Miss,0
female,,14.4542,,C,Mrs,0
male,20.0,4.0125,,C,Mr,0
male,10.0,29.125,,Q,Master,0
female,,7.75,,Q,Miss,1
female,,25.4667,,S,Miss,0
male,25.0,26.0,,C,Mr,0
male,24.0,8.6625,,S,Mr,0
female,35.0,83.475,C83,S,Mrs,1
male,44.0,8.05,,S,Mr,0
female,21.0,8.6625,,S,Miss,0
male,,19.9667,,S,Mr,0
male,26.0,7.775,,S,Mr,1
female,26.0,13.5,,S,Miss,1
male,21.0,7.8958,,S,Mr,0
female,58.0,153.4625,C125,S,Mrs,1
female,28.0,14.4,,S,Mrs,0
female,,7.7875,,Q,Miss,1
male,30.0,24.0,,C,Mr,0
female,39.0,211.3375,,S,Miss,1
male,50.0,13.0,,S,Mr,0
female,18.0,7.2292,,C,Mrs,1
female,,15.5,,Q,Miss,1
female,39.0,110.8833,C68,C,Mrs,1
male,4.0,81.8583,A34,S,Master,1
female,1.0,16.7,G6,S,Miss,1
male,24.0,7.775,,S,Mr,0
female,63.0,221.7792,C55,S,Mrs,0
male,50.0,26.0,,S,Mr,0
male,21.0,73.5,,S,Mr,0
female,40.0,134.5,E34,C,Mrs,1
female,21.0,34.375,,S,Miss,0
male,50.0,14.5,,S,Mr,0
female,30.0,164.8667,C7,S,Miss,1
male,16.0,39.6875,,S,Mr,0
male,21.0,77.2875,D26,S,Mr,0
male,36.0,7.25,,S,Mr,0
female,18.0,227.525,C62,C,Mrs,1
female,,8.05,,S,Miss,1
female,22.0,7.75,,S,Miss,1
male,51.0,26.55,E17,S,Mr,1
female,30.0,12.475,,S,Miss,1
female,18.0,7.775,,S,Miss,1
male,,7.25,,S,Mr,0
male,9.0,3.1708,,S,Master,1
male,21.0,7.8,,S,Mr,0
male,65.0,7.75,,Q,Mr,0
female,30.0,12.35,,Q,Miss,1
male,30.0,57.75,C78,C,Mr,1
female,,69.55,,S,Miss,0
male,44.0,16.1,,S,Mr,0
male,66.0,10.5,,S,Mr,0
male,60.0,79.2,B41,C,Mr,1
male,3.0,15.9,,S,Master,1
male,,7.7375,,Q,Mr,0
female,48.0,106.425,C86,C,Mrs,1
female,8.0,26.25,,S,Miss,1
female,22.0,59.4,,C,Miss,1
female,42.0,227.525,,C,Miss,1
male,31.0,7.925,,S,Mr,1
male,25.0,13.0,,S,Mr,0
female,25.0,30.0,,S,Miss,1
male,21.0,11.5,,S,Mr,0
male,54.0,51.8625,E46,S,Mr,0
male,39.0,13.4167,,C,Mr,1
male,37.0,26.0,,S,Mr,0
male,,7.55,,S,Mr,0
female,48.0,36.75,,S,Mrs,1
male,,7.8958,,C,Mr,0
male,,26.0,,S,Mr,1
male,22.0,7.25,,S,Mr,0
female,50.0,28.7125,C49,C,Miss,0
female,30.0,13.0,,S,Miss,1
female,28.0,26.0,,S,Mrs,1
male,32.0,7.925,,S,Mr,1
male,18.0,8.05,,S,Mr,1
male,17.0,7.2292,,C,Mr,0
male,,25.4667,,S,Master,0
male,,7.7292,,Q,Mr,0
male,21.0,7.925,,S,Mr,0
male,43.0,6.45,,S,Mr,0
male,28.0,56.4958,,S,Mr,0
male,,7.775,,S,Mr,0
male,31.0,18.0,,S,Mr,0
female,,15.5,,Q,Mrs,1
male,39.0,24.15,,S,Mr,0
male,43.0,7.8958,,S,Mr,0
female,28.0,24.0,,C,Mrs,1
male,28.0,82.1708,,C,Mr,0
male,39.0,71.2833,C85,C,Mr,0
male,20.0,7.8542,,S,Mr,0
female,21.0,9.825,,S,Miss,0
male,0.8333,9.35,,S,Master,1
male,8.0,32.5,,S,Master,1
male,31.0,57.0,B20,S,Mr,1
female,41.0,39.6875,,S,Mrs,0
female,6.0,33.0,,S,Miss,1
female,24.0,7.75,,Q,Miss,0
male,7.0,29.125,,Q,Master,0
female,39.0,79.65,E67,S,Mrs,1
female,36.0,120.0,B96,S,Mrs,1
female,35.0,57.75,C28,C,Mrs,1
male,34.0,6.4958,,S,Mr,0
male,47.0,9.0,,S,Mr,0
male,28.5,7.2292,,C,Mr,0
female,28.0,13.0,,S,Miss,1
male,51.0,12.525,,S,Other,0
male,6.0,134.5,E34,C,Master,1
male,,16.1,,S,Mr,0
female,,7.75,,Q,Miss,1
male,,14.5,,S,Master,0
male,47.0,38.5,E63,S,Mr,0
male,,6.95,,Q,Mr,0
female,35.0,135.6333,C99,S,Miss,1
male,10.0,27.9,,S,Master,0
male,,7.05,,S,Mr,0
male,16.0,10.5,,S,Mr,0
male,21.0,7.775,,S,Mr,0
male,27.0,76.7292,D49,C,Mr,1
male,36.0,40.125,A10,C,Mr,0
male,32.0,56.4958,,S,Mr,1
male,36.0,10.5,,S,Mr,0
male,34.0,21.0,,S,Mr,0
male,5.0,31.3875,,S,Master,0
female,30.0,8.6625,,S,Miss,0
male,34.0,13.0,,S,Mr,0
male,17.0,7.125,,S,Mr,0
male,14.5,69.55,,S,Master,0
female,5.0,19.2583,,C,Miss,1
male,40.5,7.75,,Q,Mr,0
female,38.0,7.2292,,C,Mrs,1
male,22.0,7.2292,,C,Mr,0
female,48.0,39.6,A16,C,Mrs,1
male,21.0,7.8542,,S,Mr,0
male,36.0,13.0,,S,Mr,0
male,17.0,8.05,,S,Mr,0
male,,7.8792,,S,Mr,0
male,64.0,263.0,C23,S,Mr,0
male,19.0,8.05,,S,Mr,1
female,26.0,136.7792,C89,C,Mrs,1
female,24.0,15.85,,S,Mrs,1
male,34.0,13.0,,S,Mr,0
male,26.0,7.8542,,S,Mr,0
male,58.0,29.7,B37,C,Mr,0
male,27.0,30.5,,S,Mr,1
female,50.0,10.5,,S,Miss,1
male,,14.4583,,C,Mr,0
female,50.0,211.5,C80,C,Mrs,1
male,42.0,7.55,,S,Mr,0
female,31.0,8.6833,,S,Mrs,1
female,24.0,13.0,,S,Mrs,0
female,,146.5208,B78,C,Mrs,1
male,,7.775,,S,Mr,1
female,0.1667,20.575,,S,Miss,1
male,,8.05,,S,Mr,0
female,,7.7333,,Q,Miss,1
female,20.0,36.75,,S,Miss,1
female,32.0,15.5,,Q,Mrs,0
